,l,ANNzC_l,ANNzC_lErr,sdssC_l,sdssC_lErr
0,6,0.00535942801621,0.00192738781582,0.00548068065928,0.0019630009174
1,16,0.00214574145726,0.000376673108163,0.00217570525435,0.000384618060696
2,26,0.000793806366667,0.000115577066943,0.000788132363509,0.000118434265159
3,36,0.00059364562507,7.43045105288e-05,0.00059197119191,7.64787882229e-05
4,46,0.000464873355849,5.03261830226e-05,0.00045949713115,5.11142925227e-05
5,56,0.000343813713021,3.33702636462e-05,0.000345238398288,3.44277599651e-05
6,66,0.000203605002244,1.92057739046e-05,0.000205861093468,2.01401243792e-05
7,76,0.000140047671832,1.30675757238e-05,0.000137924900066,1.36213870249e-05
8,86,9.88079652675e-05,8.85258437259e-06,0.00010019940169,9.27352006289e-06
9,96,7.57048253896e-05,6.71705869248e-06,7.56272802503e-05,7.04170955558e-06
10,106,5.3948963018e-05,4.74483314743e-06,5.37995290201e-05,4.98821460244e-06
11,116,4.06179040957e-05,3.60757007223e-06,3.95770947725e-05,3.7848910248e-06
12,126,3.31319870151e-05,2.97059229311e-06,3.22420150639e-05,3.11231220016e-06
13,136,2.63497800763e-05,2.42355571586e-06,2.50814428976e-05,2.53818613883e-06
14,146,2.22974704356e-05,2.0404391113e-06,2.04699608495e-05,2.14437754163e-06
15,156,1.90691565147e-05,1.7657621778e-06,1.82110745962e-05,1.86405623065e-06
16,166,1.79857428961e-05,1.6112314948e-06,1.79268942653e-05,1.69069066277e-06
17,176,1.5807346503e-05,1.4479813476e-06,1.52939136281e-05,1.51024799919e-06
18,186,1.78055751819e-05,1.44828274634e-06,1.69147049969e-05,1.51588661834e-06
19,196,1.60194657244e-05,1.35785011903e-06,1.51912902288e-05,1.42988250513e-06
20,206,1.61167439934e-05,1.28436243778e-06,1.57689624934e-05,1.34243012657e-06
21,216,1.49150430903e-05,1.17721543202e-06,1.49373019056e-05,1.24350005694e-06
22,226,1.31502918084e-05,1.056472223e-06,1.31870686184e-05,1.12752156518e-06
23,236,1.1492953159e-05,9.52074045333e-07,1.11966933501e-05,1.00252625964e-06
24,246,1.06142081783e-05,8.68881800896e-07,1.04554992817e-05,9.17306449805e-07
25,256,9.58614529511e-06,8.08317590737e-07,9.08772678455e-06,8.54115562547e-07
26,266,7.94139930223e-06,7.27523704277e-07,7.60202323507e-06,7.66686120553e-07
27,276,7.3827326863e-06,6.95046461774e-07,7.24218805125e-06,7.35509382224e-07
28,286,7.01889718759e-06,6.60259477633e-07,6.79294266593e-06,7.05664828235e-07
29,296,6.50498281779e-06,6.1552453718e-07,6.29472665123e-06,6.46448827553e-07
30,306,6.98793978959e-06,6.07074100199e-07,6.81853035493e-06,6.43166916522e-07
31,316,6.90189626294e-06,5.90855924446e-07,6.39452283618e-06,6.20841252639e-07
32,326,6.86084388296e-06,5.72346442454e-07,6.41906742536e-06,6.08736763658e-07
33,336,6.49190948981e-06,5.41473662668e-07,6.15555544918e-06,5.72346240731e-07
34,346,6.08593201945e-06,5.20809613958e-07,5.76476788069e-06,5.51583367838e-07
35,356,6.10001103784e-06,5.04628206241e-07,5.76697439696e-06,5.3357554088e-07
36,366,5.43135543046e-06,4.78192456202e-07,5.21872449774e-06,5.01637883461e-07
37,376,5.67396834792e-06,4.74092810812e-07,5.44647588008e-06,4.97672001716e-07
38,386,5.48263395098e-06,4.62378661984e-07,5.19772978243e-06,4.85276744947e-07
39,396,4.89809857826e-06,4.33156459177e-07,4.79241231883e-06,4.53316006942e-07
40,406,4.68774390355e-06,4.18935587886e-07,4.50460063029e-06,4.40322489586e-07
41,416,4.25340230813e-06,3.90062018429e-07,4.01695167395e-06,4.13335639366e-07
42,426,4.21356951149e-06,3.83415201379e-07,3.93761716985e-06,4.06321288355e-07
43,436,4.18363715578e-06,3.76450491522e-07,4.09246104621e-06,3.97540530434e-07
44,446,3.79256334031e-06,3.61766236472e-07,3.64059978593e-06,3.8136507016e-07
45,456,3.75465007137e-06,3.59821552087e-07,3.43332946236e-06,3.83965362491e-07
46,466,3.88508570711e-06,3.49147445472e-07,3.79346822832e-06,3.70175317916e-07
47,476,3.95228602724e-06,3.40921240604e-07,3.79617869725e-06,3.61450156404e-07
48,486,3.73701985255e-06,3.34583845607e-07,3.76698087148e-06,3.51739107359e-07
49,496,3.92758945333e-06,3.31215648687e-07,3.75855891747e-06,3.51661983959e-07
50,506,3.78166615545e-06,3.20973090933e-07,3.56167894766e-06,3.3956489887e-07
